Compound Name,Threshold,Units,Source
1-pentanol,"4,000",?g/kg,Zhu et al. 2020
(Z)-2-pentenol,40,?g/kg,Zhu et al. 2020
1-octene-3-ol,1,?g/kg,Zhu et al. 2020
2-ethylhexyl alcohol,246,?g/kg,Zhu et al. 2020
N-caprylic alcohol,110,?g/kg,Zhu et al. 2020
1-nonyl alcohol,50,?g/kg,Zhu et al. 2020
Phenethyl alcohol,86,?g/kg,Zhu et al. 2020
3-methylbutyraldehyde,0.2,?g/kg,Zhu et al. 2020
Hexanal,5,?g/kg,Zhu et al. 2020
N-octanal,0.7,?g/kg,Zhu et al. 2020
Nonanal,1,?g/kg,Zhu et al. 2020
"(E, E)-2, 4-heptadienal",5,?g/kg,Zhu et al. 2020
Benzaldehyde,0.8,?g/kg,Zhu et al. 2020
"(E, Z)-2,6-nonylaldehyde",0.8,?g/kg,Zhu et al. 2020
Phenylacetaldehyde,4,?g/kg,Zhu et al. 2020
"2,3- octanedione",3,?g/kg,Zhu et al. 2020
Undecane,200,?g/kg,Zhu et al. 2020
D-limonene,10,?g/kg,Zhu et al. 2020
Styrene,47,?g/kg,Zhu et al. 2020
Methylbenzene,200,?g/kg,Zhu et al. 2020
P-xylene,450,?g/kg,Zhu et al. 2020
Naphthalene,60,?g/kg,Zhu et al. 2020
2-methyl naphthalene,14,?g/kg,Zhu et al. 2020
2-ethyl furan,2.3,?g/kg,Zhu et al. 2020
2-Zn-pentylfuran,6,?g/kg,Zhu et al. 2020
(E)-2-(2-pentenyl) furan,6,?g/kg,Zhu et al. 2020
N-dibutylformamide,470,?g/kg,Zhu et al. 2020
Acetaldehyde,0.21,ppm,Pullen 2007
Allyl mercaptan,0.0015,ppm,Pullen 2007
Ammonia,37,ppm,Pullen 2007
Benzyl mercaptan,0.0026,ppm,Pullen 2007
n-Butyl amine,1.8,ppm,Pullen 2007
Chlorine,0.31,ppm,Pullen 2007
Di-isopropyl amine,0.38,ppm,Pullen 2007
Dimethyl sulphide,0.001,ppm,Pullen 2007
Diphenyl sulphide,0.0021,ppm,Pullen 2007
Ethyl amine,1.7,ppm,Pullen 2007
Ethyl mercaptan,0.001,ppm,Pullen 2007
Hydrogen sulphide,0.0047,ppm,Pullen 2007
Methyl mercaptan,0.001,ppm,Pullen 2007
Phenyl mercaptan,0.0015,ppm,Pullen 2007
Propyl mercaptan,0.02,ppm,Pullen 2007
Pyridine,0.74,ppm,Pullen 2007
Skatole,0.05,ppm,Pullen 2007
Sulphur dioxide,4.4,ppm,Pullen 2007
Acetone,28,ppm,Pullen 2007
Benzene,1.7,ppm,Pullen 2007
n-Butylacetate,0.076,ppm,Pullen 2007
n-Butanol,0.04,ppm,Pullen 2007
Ethyl alcohol,0.37,ppm,Pullen 2007
Isobutyl alcohol,0.012,ppm,Pullen 2007
Methyl ethyl ketone,3.1,ppm,Pullen 2007
Toluene,1.6,ppm,Pullen 2007
Acetic acid,0.006,ppm,Pullen 2007
Acetonitrile,13,ppm,Pullen 2007
Acrolein,0.0036,ppm,Pullen 2007
Acrylonitrile,8.8,ppm,Pullen 2007
Allyl sulphide,0.00022,ppm,Pullen 2007
iso Amyl mercaptane,0.00000077,ppm,Pullen 2007
n-Amyl mercaptane,0.00000078,ppm,Pullen 2007
"1,3-Butadiene",0.23,ppm,Pullen 2007
n-Butane,1200,ppm,Pullen 2007
iso Butanol,0.011,ppm,Pullen 2007
iso Butene,10,ppm,Pullen 2007
1-Butene,0.36,ppm,Pullen 2007
2-n-Buthoxyethanol,0.043,ppm,Pullen 2007
1-Butoxy-2-propanol,0.16,ppm,Pullen 2007
iso Butyl acetate,0.008,ppm,Pullen 2007
n-Butyl acetate,0.016,ppm,Pullen 2007
iso Butyl acryrate,0.0009,ppm,Pullen 2007
n-Butyl acryrate,0.00055,ppm,Pullen 2007
iso Butylaldehyde,0.00035,ppm,Pullen 2007
n-Butylaldehyde,0.00067,ppm,Pullen 2007
Butylamine,0.17,ppm,Pullen 2007
iso Butylamine,0.0015,ppm,Pullen 2007
n-Butylamine,0.17,ppm,Pullen 2007
n-Butyl iso butyrate,0.022,ppm,Pullen 2007
iso Butyl n-butyrate,0.0016,ppm,Pullen 2007
iso Butyl iso butyrate,0.075,ppm,Pullen 2007
n-Butyl formate,0.087,ppm,Pullen 2007
iso Butyl formate,0.49,ppm,Pullen 2007
Butyl mercaptane,0.00003,ppm,Pullen 2007
iso Butyl mercaptane,0.0000068,ppm,Pullen 2007
n-Butyl mercaptane,0.0000028,ppm,Pullen 2007
tert. Butyl mercaptane,0.000029,ppm,Pullen 2007
iso Butyl propionate,0.02,ppm,Pullen 2007
n-Butyl propionate,0.036,ppm,Pullen 2007
iso Butyl isovalerate,0.0052,ppm,Pullen 2007
n-Butyl isovalerate,0.012,ppm,Pullen 2007
iso Butyric acid,0.0015,ppm,Pullen 2007
n-Butyric acid,0.00019,ppm,Pullen 2007
Carbon disulphide,0.21,ppm,Pullen 2007
Carbonyl sulphide,0.055,ppm,Pullen 2007
Carbon tetrachloride,4.6,ppm,Pullen 2007
Chloroform,3.8,ppm,Pullen 2007
m-Cresol,0.0001,ppm,Pullen 2007
o-Cresol,0.00028,ppm,Pullen 2007
p-Cresol,0.000054,ppm,Pullen 2007
Crotonaldehyde,0.023,ppm,Pullen 2007
Cyclohexane,2.5,ppm,Pullen 2007
n-Decane,0.62,ppm,Pullen 2007
n-Decanol,0.00077,ppm,Pullen 2007
n-Decylaldehyde,0.0004,ppm,Pullen 2007
Diacetyl,0.00005,ppm,Pullen 2007
Diallyl disulphide,0.00022,ppm,Pullen 2007
Dichloromethane,160,ppm,Pullen 2007
o-Diethylbenzene,0.0094,ppm,Pullen 2007
m-Diethylbenzene,0.07,ppm,Pullen 2007
p-Diethylbenzene,0.00039,ppm,Pullen 2007
Diethyl disulphide,0.002,ppm,Pullen 2007
Diethyl sulphide,0.000033,ppm,Pullen 2007
Diethylamine,0.048,ppm,Pullen 2007
"2,5-Dihydrofurane",0.093,ppm,Pullen 2007
Dimethylamine,0.033,ppm,Pullen 2007
"2,2-Dimethylbutane",20,ppm,Pullen 2007
"2,3-Dimethylbutane",0.42,ppm,Pullen 2007
Dimethyl disulphide,0.0022,ppm,Pullen 2007
"2,2-Dimethylpentane",38,ppm,Pullen 2007
"2,3-Dimethylpentane",4.5,ppm,Pullen 2007
"2,4-Dimethylpentane",0.94,ppm,Pullen 2007
n-Dodecane,0.11,ppm,Pullen 2007
Ethanol,0.52,ppm,Pullen 2007
2-Ethoxyethanol,0.58,ppm,Pullen 2007
2-Ethoxyethyl acetate,0.049,ppm,Pullen 2007
Ethyl acetate,0.87,ppm,Pullen 2007
Ethyl acryrate,0.00026,ppm,Pullen 2007
Ethylamine,0.046,ppm,Pullen 2007
Ethylbenzene,0.17,ppm,Pullen 2007
Ethyl n-butyrate,0.00004,ppm,Pullen 2007
Ethyl formate,2.7,ppm,Pullen 2007
Ethyl isobutyrate,0.000022,ppm,Pullen 2007
Ethyl mercaptane,0.0000087,ppm,Pullen 2007
3-Ethylpentane,0.37,ppm,Pullen 2007
Ethyl propionate,0.007,ppm,Pullen 2007
o-Ethyltoluene,0.074,ppm,Pullen 2007
m-Ethyltoluene,0.018,ppm,Pullen 2007
p-Ethyltoluene,0.0083,ppm,Pullen 2007
Ethyl-o-toluidine,0.026,ppm,Pullen 2007
Ethyl n-valerate,0.00011,ppm,Pullen 2007
Ethyl isovalerate,0.000013,ppm,Pullen 2007
Formaldehyde,0.5,ppm,Pullen 2007
Furane,9.9,ppm,Pullen 2007
Geosmin,0.0000065,ppm,Pullen 2007
n-Heptane,0.67,ppm,Pullen 2007
1-Heptene,0.37,ppm,Pullen 2007
n-Heptanol,0.0048,ppm,Pullen 2007
n-Heptylaldehyde,0.00018,ppm,Pullen 2007
n -Hexane,1.5,ppm,Pullen 2007
n-Hexanoic acid,0.0006,ppm,Pullen 2007
iso Hexanoic acid,0.0004,ppm,Pullen 2007
n-Hexanol,0.006,ppm,Pullen 2007
1-Hexene,0.14,ppm,Pullen 2007
n-Hexyl acetate,0.0018,ppm,Pullen 2007
n-Hexylaldehyde,0.00028,ppm,Pullen 2007
n-Hexyl mercaptane,0.000015,ppm,Pullen 2007
Indole,0.0003,ppm,Pullen 2007
Isoprene,0.048,ppm,Pullen 2007
Limonene,0.038,ppm,Pullen 2007
Methacrolein,0.0085,ppm,Pullen 2007
Methacrylonitrile,3,ppm,Pullen 2007
Methanol,33,ppm,Pullen 2007
Methyl acetate,1.7,ppm,Pullen 2007
Methyl acryrate,0.0035,ppm,Pullen 2007
Methyl allyl sulphide,0.00014,ppm,Pullen 2007
Methylamine,0.035,ppm,Pullen 2007
Methyl iso amyl ketone,0.0021,ppm,Pullen 2007
Methyl n-amyl ketone,0.0068,ppm,Pullen 2007
"1,2,3,4-tetra Methylbenzen",0.011,ppm,Pullen 2007
Methyl n-butyrate,0.0071,ppm,Pullen 2007
Methyl iso Butyrate,0.0019,ppm,Pullen 2007
Methyl n-butyl ketone,0.024,ppm,Pullen 2007
Methyl iso butyl ketone,0.17,ppm,Pullen 2007
Methyl tert.butyl ketone,0.043,ppm,Pullen 2007
Methyl sec.butyl ketone,0.024,ppm,Pullen 2007
Methylcyclohexane,0.15,ppm,Pullen 2007
Methylcyclopentane,1.7,ppm,Pullen 2007
Methyl ethyl ketone,0.44,ppm,Pullen 2007
Methyl formate,130,ppm,Pullen 2007
2-Methylhexane,0.42,ppm,Pullen 2007
3-Methylhexane,0.84,ppm,Pullen 2007
Methyl mercaptane,0.00007,ppm,Pullen 2007
Methyl methacryrate,0.21,ppm,Pullen 2007
2-Methy3-Methylheptane,1.5,ppm,Pullen 2007
3-Methylpentane,8.9,ppm,Pullen 2007
2-Methylpentane,7,ppm,Pullen 2007
Methyl n-propyl ketone,0.028,ppm,Pullen 2007
Methyl isopropyl ketone,0.5,ppm,Pullen 2007
Methyl propionate,0.098,ppm,Pullen 2007
Methyl n-valerate,0.0022,ppm,Pullen 2007
Methyl isovalerate,0.0022,ppm,Pullen 2007
Nitrogen dioxide,0.12,ppm,Pullen 2007
n-Nonane,2.2,ppm,Pullen 2007
n-Nonanol,0.0009,ppm,Pullen 2007
1-Nonene,0.00054,ppm,Pullen 2007
n-Nonylaldehyde,0.00034,ppm,Pullen 2007
n-Octane,1.7,ppm,Pullen 2007
1-Octene,0.001,ppm,Pullen 2007
n-Octanol,0.0027,ppm,Pullen 2007
n-Octylaldehyde,0.00001,ppm,Pullen 2007
n-Pentane,1.4,ppm,Pullen 2007
iso Pentane,1.3,ppm,Pullen 2007
n-Pentanol,0.1,ppm,Pullen 2007
iso Pentanol,0.0017,ppm,Pullen 2007
1-Pentene,0.1,ppm,Pullen 2007
Phenol,0.0056,ppm,Pullen 2007
Propane,1500,ppm,Pullen 2007
n-Propanol,0.094,ppm,Pullen 2007
iso Propanol,26,ppm,Pullen 2007
Propionaldehyde,0.001,ppm,Pullen 2007
Propionic acid,0.0057,ppm,Pullen 2007
n-Propyl acetate,0.24,ppm,Pullen 2007
Propylamine,0.061,ppm,Pullen 2007
iso Propylamine,0.025,ppm,Pullen 2007
iso Propylbenzene,0.0084,ppm,Pullen 2007
n-Propyl n-butyrate,0.011,ppm,Pullen 2007
iso Propyl n-butyrate,0.0062,ppm,Pullen 2007
n-Propyl isobutyrate,0.002,ppm,Pullen 2007
iso Propyl isobutyrate,0.035,ppm,Pullen 2007
n-Propylbenzene,0.0038,ppm,Pullen 2007
Propylene,13,ppm,Pullen 2007
n-Propyl formate,0.96,ppm,Pullen 2007
iso Propyl formate,0.29,ppm,Pullen 2007
n-Propyl mercaptane,0.000013,ppm,Pullen 2007
iso Propyl mercaptane,0.000006,ppm,Pullen 2007
n-Propyl propionate,0.058,ppm,Pullen 2007
iso Propyl propionate,0.0041,ppm,Pullen 2007
n-Propyl n-valerate,0.0033,ppm,Pullen 2007
n-Propyl isovalerate,0.000056,ppm,Pullen 2007
Tetrahydrothiophene,0.00062,ppm,Pullen 2007
Thiophene,0.00056,ppm,Pullen 2007
Trichloroethylene,3.9,ppm,Pullen 2007
Trimethylamine,0.000032,ppm,Pullen 2007
Triethylamine,0.0054,ppm,Pullen 2007
"1,2,4-Trimethylbenzen",0.12,ppm,Pullen 2007
"1,3,5-Trimethylbenzen",0.17,ppm,Pullen 2007
"2,2,5-Trimethylhexane",0.9,ppm,Pullen 2007
"2,2,4-Trimethylpentane",0.67,ppm,Pullen 2007
n-Undecane,0.87,ppm,Pullen 2007
n-Valeraldehyde,0.00041,ppm,Pullen 2007
iso Valeraldehyde,0.0001,ppm,Pullen 2007
n-Valeric acid,0.000037,ppm,Pullen 2007
iso Valeric acid,0.000078,ppm,Pullen 2007
m-Xylene,0.041,ppm,Pullen 2007
Pentanal,9,ng/g,Ma-Rui et al. 2020
(E)-2-Pentenal,1500,ng/g,Ma-Rui et al. 2020
Hexanal,4.5,ng/g,Ma-Rui et al. 2020
(E)-2-Hexenal,19.2,ng/g,Ma-Rui et al. 2020
(Z)-4-Heptenal,4.2,ng/g,Ma-Rui et al. 2020
Heptanal,2.8,ng/g,Ma-Rui et al. 2020
(E)-2-Heptenal,13,ng/g,Ma-Rui et al. 2020
Benzaldehyde,350,ng/g,Ma-Rui et al. 2020
Octanal,0.7,ng/g,Ma-Rui et al. 2020
"(E,E)-2,4-Heptadienal",15.4,ng/g,Ma-Rui et al. 2020
(E)-2-Octenal,3,ng/g,Ma-Rui et al. 2020
Nonanal,1.1,ng/g,Ma-Rui et al. 2020
"(E, Z)-2,6-Nonadienal",0.8,ng/g,Ma-Rui et al. 2020
(E)-2-Nonenal,0.08,ng/g,Ma-Rui et al. 2020
4-Ethyl-benzaldehyde,123,ng/g,Ma-Rui et al. 2020
Decanal,2,ng/g,Ma-Rui et al. 2020
"(E, E)-2,4-Nonadienal",0.09,ng/g,Ma-Rui et al. 2020
(E)-2-Decenal,0.3,ng/g,Ma-Rui et al. 2020
Undecanal,5,ng/g,Ma-Rui et al. 2020
"2,3-Pentanedione",30,ng/g,Ma-Rui et al. 2020
"2,3-Octanedione",12,ng/g,Ma-Rui et al. 2020
Acetophenone,65,ng/g,Ma-Rui et al. 2020
"3,5-Octadien-2-one",150,ng/g,Ma-Rui et al. 2020
1-Penten-3-ol,358.1,ng/g,Ma-Rui et al. 2020
1-Pentanol,4000,ng/g,Ma-Rui et al. 2020
2-Penten-1-ol,89.2,ng/g,Ma-Rui et al. 2020
1-Hexanol,2500,ng/g,Ma-Rui et al. 2020
1-Heptanol,5.4,ng/g,Ma-Rui et al. 2020
1-Octen-3-ol,1.5,ng/g,Ma-Rui et al. 2020
2-Ethyl-1-Hexanol,270000,ng/g,Ma-Rui et al. 2020
2-Octen-1-ol,40,ng/g,Ma-Rui et al. 2020
Toluene,1550,ng/g,Ma-Rui et al. 2020
Ethylbenzene,2205,ng/g,Ma-Rui et al. 2020
p-Xylene,490,ng/g,Ma-Rui et al. 2020
Styrene,730,ng/g,Ma-Rui et al. 2020
o-Xylene,450,ng/g,Ma-Rui et al. 2020
Undecane,1170,ng/g,Ma-Rui et al. 2020
Dodecane,2040,ng/g,Ma-Rui et al. 2020
Tridecane,2140,ng/g,Ma-Rui et al. 2020
2-Ethyl-furan,2.3,ng/g,Ma-Rui et al. 2020
2-Pentyl-furan,6,ng/g,Ma-Rui et al. 2020
Ethyl acetate,7500,µg/L,Ma et al. 2020
Isobutyl acetate,20,µg/L,Ma et al. 2020
Ethyl butyrate,20,µg/L,Ma et al. 2020
Isoamyl acetate,30,µg/L,Ma et al. 2020
Ethyl hexanoate,14,µg/L,Ma et al. 2020
Ethyl heptanoate,220,µg/L,Ma et al. 2020
Ethyl octanoate,240,µg/L,Ma et al. 2020
Ethyl decanoate,200,µg/L,Ma et al. 2020
Diethyl succinate,6000,µg/L,Ma et al. 2020
Ethyl phenylacetate,73,µg/L,Ma et al. 2020
Phenethyl acetate,250,µg/L,Ma et al. 2020
Ethyl dodecanoate,1500,µg/L,Ma et al. 2020
?-Dodecalactone,500,µg/L,Ma et al. 2020
Ethyl myristate,500,µg/L,Ma et al. 2020
Ethyl hexadecanoate,1000,µg/L,Ma et al. 2020
1-Pentanol,"64,000",µg/L,Ma et al. 2020
1-Hexanol,1100,µg/L,Ma et al. 2020
cis-3-Hexen-1-ol,400,µg/L,Ma et al. 2020
1-Octen-3-ol,20,µg/L,Ma et al. 2020
Heptanol,200,µg/L,Ma et al. 2020
1-Octanol,800,µg/L,Ma et al. 2020
Decanol,400,µg/L,Ma et al. 2020
Phenethyl alcohol,"10,000",µg/L,Ma et al. 2020
2-Methyl butanoic acid,250,µg/L,Ma et al. 2020
Hexanoic acid,420,µg/L,Ma et al. 2020
Heptoic acid,300,µg/L,Ma et al. 2020
Octanoic acid,500,µg/L,Ma et al. 2020
Nonanoic acid,1400,µg/L,Ma et al. 2020
Decanoic acid,1400,µg/L,Ma et al. 2020
Dodecanoic acid,1000,µg/L,Ma et al. 2020
Rose oxide,0.2,µg/L,Ma et al. 2020
Linalool ,25,µg/L,Ma et al. 2020
?-Terpineol,250,µg/L,Ma et al. 2020
Citronellol,100,µg/L,Ma et al. 2020
?-Damascenone,0.14,µg/L,Ma et al. 2020
Geranyl acetone,60,µg/L,Ma et al. 2020
Geranic acid,20,µg/L,Ma et al. 2020
Eugenol,6,µg/L,Ma et al. 2020
Guaiacol,20,µg/L,Ma et al. 2020
Furan-2-carbaldehyde,0.5,ppm, ?o?nierczyk &  Szumny 2021
Heptan-2-one,0.6,ppm, ?o?nierczyk &  Szumny 2021
heptanal,0.021,ppm, ?o?nierczyk &  Szumny 2021
3-methylsulfanylpropanal,0.0002,ppm, ?o?nierczyk &  Szumny 2021
"2,5-Dimethylpyrazine",0.1,ppm, ?o?nierczyk &  Szumny 2021
2-Acetylfuran,10,ppm, ?o?nierczyk &  Szumny 2021
2-Ethylpyrazine,100,ppm, ?o?nierczyk &  Szumny 2021
"2,3-Dimethylpyrazine",20,ppm, ?o?nierczyk &  Szumny 2021
?-Pinene,4,ppm, ?o?nierczyk &  Szumny 2021
"2,5-Dimethylfuran-3-one",0.006,ppm, ?o?nierczyk &  Szumny 2021
Linalool,0.01,ppm, ?o?nierczyk &  Szumny 2021
Heptan-2-ol,0.8,ppm, ?o?nierczyk &  Szumny 2021
Benzaldehyde,0.1,ppm, ?o?nierczyk &  Szumny 2021
"2-Ethyl-4-methyl-1,3-thiazole",0.00001,ppm, ?o?nierczyk &  Szumny 2021
Dimethyl trisulfide,0.06,ppm, ?o?nierczyk &  Szumny 2021
Oct-1-en-3-ol,0.05,ppm, ?o?nierczyk &  Szumny 2021
Sulcatone,0.05,ppm, ?o?nierczyk &  Szumny 2021
Octan-2-ol,0.1,ppm, ?o?nierczyk &  Szumny 2021
2-Ethyl-6-methylpyrazine,0.1,ppm, ?o?nierczyk &  Szumny 2021
2-Ethyl-5-methylpyrazine,15,ppm, ?o?nierczyk &  Szumny 2021
"2,3,5-Trimethylpyrazine",0.1,ppm, ?o?nierczyk &  Szumny 2021
2-Ethyl-3-methylpyrazine,0.12,ppm, ?o?nierczyk &  Szumny 2021
2-Acetylthiazole,0.01,ppm, ?o?nierczyk &  Szumny 2021
Limonene,0.01,ppm, ?o?nierczyk &  Szumny 2021
eucalyptol,0.012,ppm, ?o?nierczyk &  Szumny 2021
2-Phenylacetaldehyde,4,ppm, ?o?nierczyk &  Szumny 2021
Oct-2-enal,0.003,ppm, ?o?nierczyk &  Szumny 2021
Isobutylpyrazine,0.000016,ppm, ?o?nierczyk &  Szumny 2021
Oct-3-en-1-ol,0.0012,ppm, ?o?nierczyk &  Szumny 2021
2-acetyl pyrrole,0.2,ppm, ?o?nierczyk &  Szumny 2021
Oct-2-en-1-ol,0.84,ppm, ?o?nierczyk &  Szumny 2021
Nonan-2-one,0.1,ppm, ?o?nierczyk &  Szumny 2021
Undecane,56,ppm, ?o?nierczyk &  Szumny 2021
Nonanal,40,ppm, ?o?nierczyk &  Szumny 2021
Maltol,0.035,ppm, ?o?nierczyk &  Szumny 2021
p-Menthatriene ,0.6,ppm, ?o?nierczyk &  Szumny 2021
Dodecane ,0.766,ppm, ?o?nierczyk &  Szumny 2021
Decanal,0.02,ppm, ?o?nierczyk &  Szumny 2021
Acetaldehyde,63,µg/L,Czerny et al. 2008
Acetic acid,"180,000",µg/L,Czerny et al. 2008
2-Acetyl-1-pyrroline,0.12,µg/L,Czerny et al. 2008
4-Allyl-2-methoxyphenol,2.5,µg/L,Czerny et al. 2008
2-Amino acetophenone,0.64,µg/L,Czerny et al. 2008
trans-Anethole,73,µg/L,Czerny et al. 2008
p-Anisaldehyde,47,µg/L,Czerny et al. 2008
"2,3-Butanedionea ",2.9,µg/L,Czerny et al. 2008
Butanoic acid,"7,700",µg/L,Czerny et al. 2008
1-Butanol,"4,300",µg/L,Czerny et al. 2008
"1,8-Cineole",4.6,µg/L,Czerny et al. 2008
(E)-b-Damascenone,0.056,µg/L,Czerny et al. 2008
"(E,E)-2,4-Decadienal",0.077,µg/L,Czerny et al. 2008
(R/S)-c-Decalactone,2.6,µg/L,Czerny et al. 2008
(R/S)-d-Decalactone,51,µg/L,Czerny et al. 2008
"2,4-Dichlorophenol",2.8,µg/L,Czerny et al. 2008
"2,3-Diethyl-5-methylpyrazine",0.084,µg/L,Czerny et al. 2008
Dimethyl sulphide,1.1,µg/L,Czerny et al. 2008
Dimethyl trisulphide,0.016,µg/L,Czerny et al. 2008
(R/S)-c-Dodecalactone,2,µg/L,Czerny et al. 2008
(R/S)-d-Dodecalactone,98,µg/L,Czerny et al. 2008
(R/S)-c-(Z)-6-Dodecenolactone,9.6,µg/L,Czerny et al. 2008
"trans-4,5-Epoxy-(E)-2-decenal",0.13,µg/L,Czerny et al. 2008
Estragol,16,µg/L,Czerny et al. 2008
Ethanol,"2,000,000",µg/L,Czerny et al. 2008
Ethyl butanoate,2.4,µg/L,Czerny et al. 2008
Ethyl 2-methylbutanoate,0.063,µg/L,Czerny et al. 2008
Ethyl 3-methylbutanoate,0.11,µg/L,Czerny et al. 2008
Ethyl methylpropanoate,0.22,µg/L,Czerny et al. 2008
4-Ethyl-2-methoxyphenol,16,µg/L,Czerny et al. 2008
3-Ethylphenol,1.7,µg/L,Czerny et al. 2008
4-Ethylphenol,21,µg/L,Czerny et al. 2008
(1R)-Fenchone,440,µg/L,Czerny et al. 2008
2-Furfurylthiol,0.08,µg/L,Czerny et al. 2008
Geraniol,2.5,µg/L,Czerny et al. 2008
(Z)-4-Heptenal,0.025,µg/L,Czerny et al. 2008
Hexanal,10,µg/L,Czerny et al. 2008
(E)-2-Hexenal,190,µg/L,Czerny et al. 2008
(Z)-3-Hexenal,0.21,µg/L,Czerny et al. 2008
(Z)-3-Hexen-1-ol,13,µg/L,Czerny et al. 2008
(Z)-3-Hexenyl acetate,31,µg/L,Czerny et al. 2008
"3-Hydroxy-4,5-dimethyl-2(5H)-furanonea",1.1,µg/L,Czerny et al. 2008
"4-Hydroxy-2,5-dimethyl-3(2H)-furanonea",160,µg/L,Czerny et al. 2008
Indole,40,µg/L,Czerny et al. 2008
b-Ionone,8.4,µg/L,Czerny et al. 2008
